Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2ef84c648bd9dbdc68ac224251a0b972d8ad802b4024c41bc38db9d36d82da00,2019-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
bdb07cc1477967e72f4db6645ffa62176d3ae89b4f6cf65be7812b63ef8d41a8,2019-12,City of London Police,City of London Police,-0.080376,51.517244,On or near Supermarket,E01032739,City of London 001F,Suspect charged
614c493b6ca1685dd55343c1eb511aebb1b2fb84430e2148c9d293bb851922d2,2019-12,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Suspect charged
bf0b830f2d35c70e4307c5c48e64071ac15b52575b3218c5861cbb032af12008,2019-12,City of London Police,City of London Police,-0.105900,51.516966,On or near PLUMTREE COURT,E01032740,City of London 001G,Offender given a caution
e2c83a6a77e1aea228e0db39a077f5f9427f950cb77ffd9ec7be94e306ea2dec,2019-12,City of London Police,City of London Police,,,No location,,,Offender given a drugs possession warning
e27afa44518f2253309d86deb440b41ec40080875150af09b9d65a28c9b5060a,2019-12,City of London Police,City of London Police,-0.074901,51.506255,On or near A100,E01004293,Tower Hamlets 027B,Offender given a caution
dbfdc8879cf21eb49a69b5aff6414ebe6ea1d47ef0e0003d67ae15e5d611730d,2019-12,City of London Police,City of London Police,-0.074958,51.514151,On or near ALDGATE HIGH STREET,E01000005,City of London 001E,Offender given a drugs possession warning
06d05765ad19245a545e233a8f2ea56619f40a7b9e42f75e995b9bd3a457cffe,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a drugs possession warning
747024a22b6694a4ef688f8bab19682f11062610ec3d0e533a6b2af4ef0be397,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Offender given a drugs possession warning
919e77eb5f601cb2c74cb2fd48bfb7d83acc980b10e90aa7886567517f57cd98,2019-12,City of London Police,City of London Police,-0.076435,51.513627,On or near ALDGATE,E01000005,City of London 001E,Offender given a caution
ef4bebd3290d6bec33194974e0daba00c9311920fbac46a0d0c4d342c7546f8e,2019-12,City of London Police,City of London Police,-0.079398,51.516508,On or near DEVONSHIRE SQUARE,E01032739,City of London 001F,Offender given a drugs possession warning
ef17562369e371b51caba5287cb512ce9cb31fb8d9ccdb5c40683bbb6b7a6cd6,2019-12,City of London Police,City of London Police,-0.076747,51.517184,On or near STRYPE STREET,E01004307,Tower Hamlets 015B,Offender given a caution
09fcc5bfbfc6024cb1913c7e8c6ba0a3737d609856408550f0ff516293829478,2019-12,City of London Police,City of London Police,-0.088843,51.509532,On or near Parking Area,E01032739,City of London 001F,Local resolution
665cf427357befba370fde75eb436ad9e75924d44300cd829a2128c79611c078,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Suspect charged
5f6e5b0e5643e4ad9f4c446e18aca3f56e827086aa3b3001c46c1ab9c0e35a76,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
1fe0cd6b50b0d48c44dec0dd401ca35332b9364db84168c7ff5ccb9bc87b7f13,2019-12,City of London Police,City of London Police,-0.077578,51.510795,On or near PEPYS STREET,E01032739,City of London 001F,Offender given a caution
7f8ded1a91e8580d9fbe7fb0ca7b2cbb3a00fce21823bb84cf012fa91315fd4e,2019-12,City of London Police,City of London Police,-0.101452,51.512650,On or near ST ANDREW'S HILL,E01032739,City of London 001F,Offender given a caution
999959ff2dd6690aa90afe9f01150c5d474ca740a3c278559e9eaea76dbf66df,2019-12,City of London Police,City of London Police,-0.089451,51.517032,On or near Bus/Coach Station,E01032739,City of London 001F,Offender given a drugs possession warning
7b2af52863c3c2955db0077d60434e0c3ce61add3982f13d148a14b1290f0400,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Offender given a caution
a49172a4efd4e322cd2ac67fabec04fddef721e42b1c4f5fe57409a174a0af42,2019-12,City of London Police,City of London Police,-0.073180,51.513915,On or near BRAHAM STREET,E01032767,Tower Hamlets 021F,Offender given a drugs possession warning
973d2b5115f38f8b70385024b0550749e342fde2eb351d328ef23e94016381e6,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Local resolution
bd637f7a92358b4925a2614980e4a11e3899796e9cf0a356da3b5857199c551b,2019-12,City of London Police,City of London Police,-0.094094,51.515606,On or near GRESHAM STREET,E01000002,City of London 001B,Offender given a drugs possession warning
f973157ca48f46e5fd3bf641333723a933ddbfe55d5d1ada37bf85cf1baa7de8,2019-12,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Local resolution
3bafd1ebcfd421d14f6074be0a05ed6767d5686e32aaca8bb8fb66b398de14ea,2019-12,City of London Police,City of London Police,-0.091394,51.528493,On or near SHEPHERDESS PLACE,E01001779,Hackney 026A,Suspect charged
f7069c3c36731a1d311381c80ad9e62ba92cf2091eb4e0f4cf1f9de3c677cfe9,2019-12,City of London Police,City of London Police,-0.085257,51.511200,On or near TALBOT COURT,E01032739,City of London 001F,Suspect charged
cfc9679d4801f44d3713e6f6e917010dd6eaa1b063ccdf2f8cbe40fd58a2be6f,2019-12,City of London Police,City of London Police,,,No location,,,Suspect charged
9e7aa95db9c5cd2c0f3ed3d4e6668ead52e25f29d758e7d7584f589d7901ccdb,2019-12,City of London Police,City of London Police,-0.088203,51.518262,On or near MOORGATE,E01032739,City of London 001F,Offender given a caution
8576945f431e235a6dde929381b9a2409a4210ce43db83ad22700dc396baaa06,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Suspect charged
702bb9b64ddd85e40ed2f71d978047abae7fe9e5194f70c7822f1f77b24d5f3e,2019-12,City of London Police,City of London Police,-0.083296,51.517058,On or near OLD BROAD STREET,E01032739,City of London 001F,Suspect charged
4f650213f8c8eab1bb18b7ff05520c01723b0eba728f3cc71b22b7a2ecb3d903,2019-12,City of London Police,City of London Police,-0.099907,51.512031,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
1acccbe163bc35fd1cfee781ff8c7adcf3d899677bba84600cc8c92b37279b2c,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
9c932081091b34876b30e7af479ef78a7ceac1e35fa47708f25be95f22172df7,2019-12,City of London Police,City of London Police,-0.090710,51.513132,On or near QUEEN VICTORIA STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
95a4e246d13a4d8fe51f5a98777706cb497af69ba7422a0c0944a1dfb7db0321,2019-12,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Investigation complete; no suspect identified
61bebfbe4c9ff59c767977b8eb35faa062cb1c034ad50f26207fa5b472461b67,2019-12,City of London Police,City of London Police,-0.084199,51.513394,On or near CORNHILL,E01032739,City of London 001F,Investigation complete; no suspect identified
5c5b3886ccbf24cc3cb0b47f474b6a21b2c91fb531aca0273710f4fb81f1860b,2019-12,City of London Police,City of London Police,-0.081620,51.516814,On or near ALDERMAN'S WALK,E01032739,City of London 001F,Investigation complete; no suspect identified
e802eef0a6f587fb1d9098c05799ac0b2744fa84dd5efadb487d604a3accafb6,2019-12,City of London Police,City of London Police,-0.086272,51.513114,On or near BIRCHIN LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
6979a227367b74691cb6bbcff3ecb00fa1160a96fdea22f0cd2f90fbb7564893,2019-12,City of London Police,City of London Police,-0.081540,51.510806,On or near MINCING LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
71739ae5920d0cb9bc50e267907afef6eba902eac6c91f083a7adf6882132bc1,2019-12,City of London Police,City of London Police,-0.092077,51.512147,On or near TOWER ROYAL,E01032739,City of London 001F,Investigation complete; no suspect identified
ff5baac958a65417673fd352cc2385fda254eb9b5797f5d3884c1a46c93b0e07,2019-12,City of London Police,City of London Police,-0.077777,51.518046,On or near SANDY'S ROW,E01032739,City of London 001F,Investigation complete; no suspect identified
1166a7b9dd0b794a306b10efe0c1143e460df81cf195e1b419245898fcfb3959,2019-12,City of London Police,City of London Police,-0.085833,51.513952,On or near FINCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
b38dd5029d459a79ab9f55ff87445e2b63a25368020da64d901e0a1255656626,2019-12,City of London Police,City of London Police,-0.087118,51.513199,On or near Nightclub,E01032739,City of London 001F,Investigation complete; no suspect identified
ef30896c10b1e26084d9ee55bbd30628393698c69ac55bfbe41a273fccc2d57a,2019-12,City of London Police,City of London Police,-0.109647,51.514887,On or near FETTER LANE,E01032740,City of London 001G,Investigation complete; no suspect identified
72e36482c02ed1036a8f4262774040e9f884017a1ebfc07c8d888160aa5d8c6c,2019-12,City of London Police,City of London Police,-0.086728,51.510477,On or near KING WILLIAM STREET,E01032739,City of London 001F,Investigation complete; no suspect identified
38943d478e2976c9204663d32c8483669dc7349b316844a748ff585b54aea552,2019-12,City of London Police,City of London Police,-0.078308,51.518091,On or near WIDEGATE STREET,E01032739,City of London 001F,Unable to prosecute suspect
68b3b2475fe913f3c09a44b0dd589c98470d7a1b39a3954a3d444f755a977407,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Formal action is not in the public interest
6b3117721c3165b03f3f5de4974997c6a341565a690d2bae3336bfd78a232601,2019-12,City of London Police,City of London Police,-0.088042,51.511794,On or near ABCHURCH LANE,E01032739,City of London 001F,Investigation complete; no suspect identified
a5408ca9f88fd69b47bc7eee47920ae79c975bfd3410e540fac9c2c3acab7189,2019-12,City of London Police,City of London Police,-0.084967,51.512598,On or near BELL INN YARD,E01032739,City of London 001F,Formal action is not in the public interest
f7390c36f16c234f137bad664e8050a2595371ed734052644e0a77e79e8a9801,2019-12,City of London Police,City of London Police,-0.094468,51.521853,On or near GOLDEN LANE,E01000003,City of London 001C,Investigation complete; no suspect identified
1e838cd32b2f88398cebf4455e789e688e0194bd9062f756801ecc53608c689b,2019-12,City of London Police,City of London Police,-0.078806,51.516193,On or near DEVONSHIRE SQUARE,E01000005,City of London 001E,Investigation complete; no suspect identified
3ab2b2675d315a1da8412078456f4dcff30702cbd1db3547eb56ba05f5d80516,2019-12,City of London Police,City of London Police,-0.097929,51.521810,On or near GLASSHOUSE YARD,E01033490,Islington 022H,Investigation complete; no suspect identified
