lon,lat,amenity
-0.3028624,51.5293,doctors
-0.3076264,51.527676,post_box
-0.3087559,51.525597,post_box
-0.3091505,51.526825,doctors
-0.337186,51.512585,post_box
-0.3400323,51.51478,post_box
-0.3312265,51.51535,post_box
-0.3306043,51.520943,post_box
-0.3304259,51.531982,post_box
-0.3463944,51.54196,telephone
-0.3464381,51.54198,post_box
-0.3465432,51.541973,post_office
-0.3459836,51.542057,fast_food
-0.3504501,51.552063,cafe
-0.3408452,51.466988,pub
-0.3502682,51.4718,place_of_worship
-0.2308566,51.427303,post_box
-0.2336331,51.41553,post_box
-0.2317735,51.40976,telephone
-0.2318123,51.409702,post_office
-0.2317409,51.409565,bicycle_parking
-0.2320125,51.409496,telephone
-0.2162302,51.356224,pub
-0.2222369,51.355663,pub
-0.2206035,51.35504,post_box
-0.2171005,51.356956,recycling
-0.2201482,51.3566,school
-0.2175901,51.35769,post_box
-0.233999,51.402485,post_box
-0.2355305,51.398323,post_box
-0.2325,51.3983,post_box
-0.2293263,51.40293,post_box
-0.2143655,51.355442,bicycle_parking
-0.2299843,51.408913,bicycle_parking
-0.2303396,51.40938,bicycle_parking
-0.2137116,51.40353,fuel
-0.2191683,51.407433,post_box
-0.2182769,51.405613,post_box
-0.2151464,51.40684,post_box
-0.2092247,51.40011,post_box
-0.2168432,51.359715,place_of_worship
-0.2166396,51.36014,library
-0.2165092,51.358944,parking
-0.2157505,51.35763,pub
-0.1662929,51.370377,post_box
-0.1658625,51.36933,pub
-0.1644342,51.366817,post_box
-0.1666987,51.364502,school
-0.1672552,51.366436,post_box
-0.1794237,51.36617,telephone
-0.1793356,51.366253,post_box
-0.1808644,51.369865,pharmacy
-0.1808783,51.36959,post_office
-0.1802281,51.369507,pub
-0.1767729,51.368446,post_box
-0.167976,51.368675,post_box
-0.1713639,51.36308,post_box
-0.1714394,51.37175,pharmacy
-0.2162534,51.358025,bank
-0.2166155,51.358105,pharmacy
-0.1645341,51.48829,parking_entrance
-0.431039,51.479874,car_rental
-0.1318601,51.373158,fuel
-0.1316804,51.372314,pub
-0.1917749,51.41553,pub
-0.1864046,51.41585,pub
-0.1926618,51.41629,post_box
-0.1921611,51.417107,fuel
-0.2048792,51.41981,cinema
-0.1853025,51.418526,pub
-0.067934,51.462017,atm
-0.0702522,51.461697,bicycle_parking
-0.0802731,51.461723,bicycle_parking
-0.0800229,51.461597,bicycle_parking
-0.1053693,51.43974,bicycle_parking
-0.1788884,51.362778,telephone
-0.1831702,51.36288,post_box
-0.1892055,51.36268,post_box
-0.185813,51.362564,post_box
-0.1852127,51.36276,pub
-0.3113939,51.413265,post_box
-0.1923251,51.416977,atm
-0.0822859,51.471325,post_box
-0.0823783,51.470917,pharmacy
-0.0845927,51.47324,recycling
-0.0742553,51.471996,telephone
-0.0742528,51.470768,post_box
-0.0756215,51.47259,recycling
-0.0778523,51.470158,post_box
-0.0865627,51.468353,bicycle_parking
0.2351305,51.59409,pub
-0.3432218,51.538773,post_box
-0.3448619,51.536163,fuel
-0.3328775,51.53426,post_box
-0.3328076,51.534294,post_office
-0.3328055,51.534657,pharmacy
-0.3311132,51.537956,post_box
-0.3240163,51.536552,post_box
-0.3200201,51.535313,post_box
-0.3438098,51.5498,post_box
